subject,setSize,targetCol,distractorCol,mouse.time
129,5,black,black,0.6239
130,5,black,black,1.59524
130,20,black,black,1.498555
130,20,black,black,1.44454
130,20,black,black,1.66408
130,5,black,black,0.92845
130,5,black,black,0.99697
130,5,black,black,0.74258
130,5,black,black,0.932415
130,20,blue,black,0.896185
130,20,black,black,2.395835
132,5,black,black,2.39912
132,20,black,black,1.23585
132,20,black,black,2.00815
132,20,black,black,2.87002
132,5,black,black,1.18756
132,5,black,black,1.303435
132,20,black,black,2.92052
132,5,black,black,2.48736
132,5,black,black,1.521735
132,20,blue,black,3.719795
133,20,black,black,6.263585
133,20,black,black,1.57025
133,5,black,black,3.31036
135,5,black,black,6.1269
135,20,black,black,3.072645
135,5,black,black,2.409895
135,5,black,black,2.514555
135,20,black,black,5.40632
135,20,blue,black,1.82473
135,5,black,black,2.749365
135,20,black,black,3.031975
135,20,black,black,2.028985
135,5,black,black,2.01985
136,20,black,black,3.34397
136,5,black,black,2.20216
136,20,black,black,2.040355
136,20,black,black,1.889925
136,20,black,black,3.97144
136,5,black,black,1.109655
136,20,blue,black,1.323055
136,5,black,black,1.48989
136,5,black,black,1.90658
136,5,black,black,1.1275
137,5,black,black,8.32017
137,5,black,black,2.62079
137,20,black,black,5.224805
138,5,black,black,1.79623
138,5,black,black,2.39821
138,20,black,black,5.288735
138,20,blue,black,1.9908
138,5,black,black,2.32215
138,20,black,black,2.411805
138,20,black,black,4.664845
138,20,black,black,3.980075
138,5,black,black,2.02793
138,5,black,black,2.04206
139,5,black,black,1.913155
139,5,black,black,1.603425
139,20,black,black,2.15998
139,5,black,black,1.539905
139,5,black,black,1.45735
139,20,black,black,4.22714
139,20,black,black,1.322595
139,20,blue,black,1.1584
139,20,black,black,8.443105
139,5,black,black,2.39902
140,5,black,black,1.46339
140,5,black,black,2.004235
140,20,black,black,1.8069
140,20,black,black,3.926795
140,20,blue,black,0.95491
140,5,black,black,1.828145
140,20,black,black,2.861645
140,20,black,black,1.91052
140,5,black,black,2.733145
140,5,black,black,2.043665
142,5,black,black,1.823755
142,5,black,black,2.24988
142,20,black,black,1.577975
142,20,black,black,1.526275
142,5,black,black,1.24102
142,20,black,black,2.492325
142,20,black,black,1.354265
142,5,black,black,2.00746
142,5,black,black,2.473335
142,20,blue,black,1.99153
144,20,black,black,1.803825
144,20,black,black,1.58415
144,5,black,black,1.74369
144,5,black,black,1.35614
144,5,black,black,1.39134
144,5,black,black,0.623545
144,20,black,black,1.86253
144,20,blue,black,0.93087
144,5,black,black,1.45736
144,20,black,black,2.334675
150,20,black,black,2.308455
150,20,blue,black,0.984885
150,20,black,black,1.45933
150,5,black,black,1.107655
150,5,black,black,1.040865
150,20,black,black,1.45718
150,5,black,black,1.174045
151,5,black,black,1.243155
151,20,black,black,2.43886
151,20,blue,black,1.117955
151,5,black,black,1.50509
151,20,black,black,1.05205
151,5,black,black,0.920045
151,5,black,black,1.103685
151,5,black,black,0.938705
151,20,black,black,1.93329
151,20,black,black,3.85006
160,5,black,black,1.8338
160,20,black,black,1.5048
160,5,black,black,1.1245
160,20,black,black,4.0576
160,20,black,black,1.72
160,5,black,black,1.8331
160,20,black,black,2.1338
160,5,black,black,1.0399
160,5,black,black,1.0253
160,20,blue,black,0.9868
165,5,black,black,2.277
165,5,black,black,0.686
165,20,blue,black,0.426
165,20,black,black,0.426
166,20,black,black,1.318575
166,20,blue,black,0.929225
166,5,black,black,1.147095
166,5,black,black,0.847925
166,20,black,black,0.75895
166,5,black,black,1.11223
166,20,black,black,0.98398
166,20,black,black,3.200935
166,5,black,black,1.1799
166,5,black,black,1.28179
167,20,blue,black,1.0763
167,5,black,black,0.95696
167,20,black,black,3.76552
167,5,black,black,0.9704
167,5,black,black,0.66791
167,20,black,black,3.72911
167,20,black,black,0.090405
167,20,black,black,1.69576
167,5,black,black,0.91549
167,5,black,black,1.072775
168,20,black,black,1.455
168,5,black,black,1.648
168,20,blue,black,0.986
168,5,black,black,1.235
168,5,black,black,1.585
168,5,black,black,1.037
168,5,black,black,1.77
168,20,black,black,2.487
168,20,black,black,1.704
168,20,black,black,1.839
171,20,black,black,2.416
171,20,black,black,4.738
171,5,black,black,1.34
171,20,black,black,2.406
171,5,black,black,1.038
171,20,black,black,1.307
171,5,black,black,1.056
171,20,blue,black,0.856
171,5,black,black,0.942
171,5,black,black,1.709
172,20,black,black,4.312325
172,20,black,black,3.255025
172,5,black,black,1.016365
172,5,black,black,1.32039
172,5,black,black,0.9365
172,20,blue,black,0.82892
172,5,black,black,1.042535
172,5,black,black,0.683245
172,20,black,black,2.80467
172,20,black,black,2.95545
173,20,black,black,2.006445
173,5,black,black,1.43674
173,20,black,black,68.498985
174,5,black,black,1.449
174,20,black,black,0.691
178,20,black,black,1.89082
178,5,black,black,1.190635
178,20,black,black,0.79305
178,20,blue,black,0.85658
178,5,black,black,2.503085
178,5,black,black,3.392235
178,20,black,black,2.29272
178,5,black,black,4.7414
178,20,black,black,7.07151
178,5,black,black,1.255575
181,20,black,black,4.2521
181,5,black,black,1.6748
183,20,black,black,2.6895
183,5,black,black,1.6424
185,20,black,black,1.4181
185,20,blue,black,2.9202
185,5,black,black,1.988
185,5,black,black,2.4659
185,20,black,black,1.3907
185,20,black,black,5.3297
187,20,black,black,1.2433
187,20,blue,black,1.0922
187,5,black,black,1.227
187,5,black,black,6.2485
187,5,black,black,1.0405
187,5,black,black,1.0431
188,5,black,black,0.9243
188,5,black,black,1.2862
188,5,black,black,1.2914
188,5,black,black,1.1559
188,20,black,black,1.5554
188,20,black,black,2.3414
189,5,black,black,1.5293
189,20,blue,black,0.0196
189,5,black,black,1.0895
189,5,black,black,1.8584
189,20,black,black,1.8571
191,5,black,black,1.9028
191,20,black,black,1.9886
191,20,black,black,1.3366
191,5,black,black,1.3061
191,5,black,black,1.3874
191,5,black,black,0.8188
191,5,black,black,21.8726
191,20,black,black,2.1723
191,20,blue,black,1.5044
191,20,black,black,2.5648
192,5,black,black,1.2758
192,5,black,black,1.7885
192,20,black,black,4.0058
192,20,black,black,2.4068
192,20,blue,black,0.9423
192,20,black,black,1.0183
192,5,black,black,1.5396
192,5,black,black,1.4829
192,5,black,black,1.977
192,20,black,black,1.9446
193,20,black,black,1.8695
193,20,black,black,3.8281
193,20,black,black,1.3111
193,5,black,black,2.2462
193,5,black,black,1.1493
194,20,black,black,2.691
194,20,black,black,4.909
194,5,black,black,1.452
194,5,black,black,1.12
194,20,black,black,1.287
194,20,blue,black,1.137
194,5,black,black,1.07
194,20,black,black,1.504
194,5,black,black,0.854
194,5,black,black,1.276
195,5,black,black,2.681
195,5,black,black,1.9047
195,5,black,black,1.2063
195,20,black,black,2.2985
195,20,black,black,1.5997
195,20,blue,black,1.1688
195,5,black,black,1.5404
195,20,black,black,2.4863
195,5,black,black,1.0889
195,20,black,black,1.6887
196,5,black,black,4.1336
196,5,black,black,1.7339
196,20,black,black,1.5144
196,20,black,black,0.6243
197,5,black,black,1.27
197,20,black,black,1.573
197,5,black,black,0.753
197,5,black,black,1.422
197,20,black,black,2.039
197,5,black,black,3.358
197,20,black,black,6.991
197,20,black,black,1.909
197,5,black,black,2.226
197,20,blue,black,1.377
198,5,black,black,2.055
198,5,black,black,1.439
198,5,black,black,3.542
198,20,black,black,2.556
198,5,black,black,1.708
199,5,black,black,1.4825
199,20,black,black,1.3858
199,20,blue,black,1.1293
199,5,black,black,1.5493
199,5,black,black,0.9371
200,20,black,black,1.7227
200,20,black,black,0.1905
200,5,black,black,1.7438
200,5,black,black,1.1899
200,20,black,black,1.1634
200,20,black,black,1.7106
200,5,black,black,0.6928
