fixDuration,resp.keys,resp.corr,pracLoop.thisRepN,pracLoop.thisTrialN,pracLoop.thisN,pracLoop.thisIndex,pracLoop.ran,cue,tar,corrAns,targOrientation,participant,session,date,expName,psychopyVersion,OS,frameRate,resp.rt,instResp.keys,instResp.rt,mainLoop.thisRepN,mainLoop.thisTrialN,mainLoop.thisN,mainLoop.thisIndex,mainLoop.ran,blockLoop.thisRepN,blockLoop.thisTrialN,blockLoop.thisN,blockLoop.thisIndex,blockLoop.ran
0.65,left,1,,,,,,stim/both.png,stim/congRight.png,left,180,prueba,001,2022-02-11_14h38.15.234,ANT,2021.2.3,Win32,59.85515054,0.6695,,,1,28,76,13,1,,,,,
0.85,right,1,,,,,,stim/both.png,stim/incongLeft.png,right,180,prueba,001,2022-02-11_14h38.15.234,ANT,2021.2.3,Win32,59.85515054,0.7828,,,1,29,77,21,1,,,,,
1.55,left,1,,,,,,stim/both.png,stim/incongRight.png,left,180,prueba,001,2022-02-11_14h38.15.234,ANT,2021.2.3,Win32,59.85515054,0.9009,,,1,30,78,29,1,,,,,
0.95,right,1,,,,,,stim/both.png,stim/neutralLeft.png,right,180,prueba,001,2022-02-11_14h38.15.234,ANT,2021.2.3,Win32,59.85515054,0.7193,,,1,31,79,37,1,,,,,
0.6,right,1,,,,,,stim/blank.png,stim/congLeft.png,right,180,prueba,001,2022-02-11_14h38.15.234,ANT,2021.2.3,Win32,59.85515054,0.7009,,,1,32,80,7,1,,,,,
0.95,left,1,,,,,,stim/lower.png,stim/neutralRight.png,left,180,prueba,001,2022-02-11_14h38.15.234,ANT,2021.2.3,Win32,59.85515054,0.6197,,,1,33,81,44,1,,,,,
1.2,left,1,,,,,,stim/blank.png,stim/congRight.png,left,180,prueba,001,2022-02-11_14h38.15.234,ANT,2021.2.3,Win32,59.85515054,0.6101,,,1,34,82,15,1,,,,,
0.7,right,1,,,,,,stim/centre.png,stim/neutralLeft.png,right,180,prueba,001,2022-02-11_14h38.15.234,ANT,2021.2.3,Win32,59.85515054,0.6231,,,1,35,83,38,1,,,,,
0.8,right,1,,,,,,stim/centre.png,stim/neutralRight.png,right,0,prueba,001,2022-02-11_14h38.15.234,ANT,2021.2.3,Win32,59.85515054,0.6537,,,1,36,84,42,1,,,,,
0.65,right,1,,,,,,stim/both.png,stim/neutralRight.png,right,0,prueba,001,2022-02-11_14h38.15.234,ANT,2021.2.3,Win32,59.85515054,0.5004,,,1,37,85,41,1,,,,,
