,group,condition,subject,phase,trial,target,hand_angle,error,movement_time,reaction_time,peak_velocity,rot_direction,rot
307,0,0,2,Base,59,-120,-7.07,-7.07,0.806747,0.47423000000000004,0.20908600000000002,CCW,0
4128,0,1,2,Adaptation,257,0,29.316414,-0.6835859999999999,998.6365572000001,323.49273389999996,,CCW,-30
6284,0,0,2,Generalisation,367,150,6.402916524,6.402916524,,,,CCW,0
215,0,0,2,Base,60,30,0.451,0.451,0.660669,0.20019,0.131133,CCW,0
4129,0,1,2,Adaptation,258,0,35.55366,5.55366,1244.178802,934.729693,,CCW,-30
6285,0,0,2,Generalisation,368,90,4.39041975,4.39041975,,,,CCW,0
343,0,1,2,Base,61,60,-14.8,-14.8,0.47785200000000005,-0.000404876,0.165244,CCW,0
4130,0,1,2,Adaptation,259,0,21.45701,-8.54299,806.7826972999999,419.406709,,CCW,-30
6286,0,0,2,Generalisation,369,-60,7.441479527,7.441479527,,,,CCW,0
376,0,1,2,Base,62,-60,-8.69,-8.69,0.707133,0.74861,0.189503,CCW,0
4131,0,1,2,Adaptation,260,0,26.30005,-3.69995,998.8874545,651.2792454,,CCW,-30
6287,0,0,2,Generalisation,370,60,6.764256456,6.764256456,,,,CCW,0
264,0,0,2,Base,63,150,8.01,8.01,1.1254899999999999,0.159299,0.104976,CCW,0
4132,0,1,2,Adaptation,261,0,29.154629999999997,-0.8453700000000001,924.3565916000001,758.5950186000001,,CCW,-30
6288,0,0,2,Generalisation,371,150,6.1837803639999995,6.1837803639999995,,,,CCW,0
323,0,0,2,Base,64,-150,-1.59,-1.59,0.5432130000000001,0.40213000000000004,0.196744,CCW,0
4133,0,1,2,Adaptation,262,0,22.43284,-7.56716,699.8399433999999,472.4031022,,CCW,-30
6289,0,0,2,Generalisation,372,120,6.781912329,6.781912329,,,,CCW,0
335,0,1,2,Base,65,0,-7.7,-7.7,0.797814,0.200827,0.273002,CCW,0
4134,0,1,2,Adaptation,263,0,27.57897,-2.42103,692.6534577000001,566.6398247999999,,CCW,-30
6290,0,0,2,Generalisation,373,30,16.3461685,16.3461685,,,,CCW,0
287,0,0,2,Base,66,-60,4.14,4.14,0.832944,0.0310476,0.0472084,CCW,0
4135,0,1,2,Adaptation,264,0,32.67837,2.67837,691.366056,538.657254,,CCW,-30
6291,0,0,2,Generalisation,374,120,3.8799005039999996,3.8799005039999996,,,,CCW,0
281,0,0,2,Base,67,-30,-5.39,-5.39,1.0081,0.31826,0.0918993,CCW,0
4136,0,1,2,Adaptation,265,0,25.129089999999998,-4.87091,955.9082038999999,246.4046023,,CCW,-30
378,0,1,2,Base,68,-90,-4.37,-4.37,0.79105,0.559774,0.127674,CCW,0
4137,0,1,2,Adaptation,266,0,33.22077,3.22077,1021.3400310000001,504.34579249999996,,CCW,-30
206,0,0,2,Base,69,0,-4.24,-4.24,1.09136,0.33108200000000004,0.12415899999999999,CCW,0
4138,0,1,2,Adaptation,267,0,30.976783,0.976783,1053.644275,350.34124060000005,,CCW,-30
228,0,0,2,Base,70,60,3.52,3.52,0.8330780000000001,0.322785,0.22466,CCW,0
4139,0,1,2,Adaptation,268,0,30.883049,0.883049,792.556796,255.17434849999998,,CCW,-30
394,0,1,2,Base,71,-150,-9.0,-9.0,0.9183950000000001,0.257676,0.231379,CCW,0
4140,0,1,2,Adaptation,269,0,23.41445,-6.58555,716.8323307999999,666.6676064,,CCW,-30
382,0,1,2,Base,72,-90,-7.25,-7.25,0.883345,0.584607,0.175387,CCW,0
4141,0,1,2,Adaptation,270,0,27.63897,-2.36103,1111.306527,436.7552142,,CCW,-30
233,0,0,2,Base,73,60,-5.72,-5.72,1.11618,0.18227000000000002,0.21301399999999998,CCW,0
4142,0,1,2,Adaptation,271,0,35.37315,5.37315,958.7827901,579.2747448,,CCW,-30
308,0,0,2,Base,74,-120,-16.4,-16.4,0.647834,0.023114700000000002,0.015277700000000002,CCW,0
4143,0,1,2,Adaptation,272,0,24.74703,-5.2529699999999995,930.3347225,278.4866257,,CCW,-30
223,0,0,2,Base,75,60,-9.7,-9.7,0.576278,0.15742,0.19663699999999998,CCW,0
4144,0,1,2,Adaptation,273,0,18.7655,-11.2345,961.5734904999999,637.4048435,,CCW,-30
248,0,0,2,Base,76,120,1.25,1.25,0.7612869999999999,0.468013,0.299501,CCW,0
4145,0,1,2,Adaptation,274,0,18.9943,-11.0057,848.5975689999999,460.7747838,,CCW,-30
312,0,0,2,Base,77,-120,-4.66,-4.66,0.687291,0.458758,0.111437,CCW,0
4146,0,1,2,Adaptation,275,0,28.692290000000003,-1.30771,896.3098392,624.0160070000001,,CCW,-30
331,0,1,2,Base,78,0,3.39,3.39,0.87989,0.65342,0.209995,CCW,0
4147,0,1,2,Adaptation,276,0,28.51465,-1.48535,1073.735665,539.191986,,CCW,-30
273,0,0,2,Base,79,-30,-0.981,-0.981,0.939687,0.39829000000000003,0.20550500000000002,CCW,0
4148,0,1,2,Adaptation,277,0,31.909740000000003,1.9097400000000002,938.7838773,359.5735302,,CCW,-30
341,0,1,2,Base,80,30,-4.0,-4.0,0.8465389999999999,0.401464,0.17619100000000001,CCW,0
4149,0,1,2,Adaptation,278,0,27.65158,-2.34842,1019.646441,313.6876015,,CCW,-30
216,0,0,2,Base,81,30,3.95,3.95,0.9540799999999999,0.128671,0.240128,CCW,0
4150,0,1,2,Adaptation,279,0,28.171590000000002,-1.8284099999999999,870.6090740000001,317.57461960000006,,CCW,-30
210,0,0,2,Base,82,30,-14.6,-14.6,0.7947489999999999,0.348453,0.31446199999999996,CCW,0
4151,0,1,2,Adaptation,280,0,32.03103,2.03103,1080.163784,546.9529931,,CCW,-30
275,0,0,2,Base,83,-30,-3.9,-3.9,1.20119,0.317051,0.12848199999999999,CCW,0
4152,0,1,2,Adaptation,281,0,24.10294,-5.89706,954.6743629000001,439.17573,,CCW,-30
241,0,0,2,Base,84,90,7.88,7.88,0.810635,0.484572,0.251654,CCW,0
4153,0,1,2,Adaptation,282,0,24.444779999999998,-5.555219999999999,1173.5797929999999,452.47449220000004,,CCW,-30
367,0,1,2,Base,85,-30,-6.77,-6.77,0.956727,0.388497,0.177792,CCW,0
4154,0,1,2,Adaptation,283,0,26.17377,-3.8262300000000002,887.9279367,604.7592032000001,,CCW,-30
256,0,0,2,Base,86,120,-2.83,-2.83,1.0593299999999999,0.548613,0.0432271,CCW,0
4155,0,1,2,Adaptation,284,0,32.60349,2.6034900000000003,900.6685749,682.4163059,,CCW,-30
